number	recipe_name	ingredients	cooking_time
1191	Сэндвич на завтрак с омлетом, помидорами и сыром	10 ИНГРЕДИЕНТОВ	20 минут
1192	Форель с миндалем и спаржей	8 ИНГРЕДИЕНТОВ	30 минут
1193	Теплый салат с картофелем и осьминогом	19 ИНГРЕДИЕНТОВ	30 минут
1194	Креветки с манго	9 ИНГРЕДИЕНТОВ	15 минут
1195	Салат из лосося, сельдерея и моркови	7 ИНГРЕДИЕНТОВ	15 минут
1196	Пенне ригате со свиной вырезкой	12 ИНГРЕДИЕНТОВ	25 минут
1197	Глазированный сырок со сгущенным молоком и мятой	8 ИНГРЕДИЕНТОВ	2 часа
1198	Брауни с творогом и вишней	10 ИНГРЕДИЕНТОВ	30 минут
1199	Мартышкин хлеб	12 ИНГРЕДИЕНТОВ	1 час
1200	Сырный суп с креветками и зеленью	9 ИНГРЕДИЕНТОВ	45 минут
1201	Скумбрия в духовке	6 ИНГРЕДИЕНТОВ	30 минут
1202	Шарлотка с хрустящей корочкой	5 ИНГРЕДИЕНТОВ	40 минут
1203	Мясная солянка	22 ИНГРЕДИЕНТА	3 часа
1204	Парата с картофельной начинкой	8 ИНГРЕДИЕНТОВ	40 минут
1205	Батончики из овсяной гранолы с абрикосом и льном	9 ИНГРЕДИЕНТОВ	40 минут
1206	Тушеные овощи	12 ИНГРЕДИЕНТОВ	1 час
1207	Булочка с творогом и авокадо	8 ИНГРЕДИЕНТОВ	15 минут
1208	Чангуа	8 ИНГРЕДИЕНТОВ	15 минут
1209	Куриные ножки тандури	14 ИНГРЕДИЕНТОВ	25 минут
1210	Дал-макхани	10 ИНГРЕДИЕНТОВ	6 часов
1211	Мург-макхани	20 ИНГРЕДИЕНТОВ	1 час
1212	Стейк из свинины с горчичным соусом	10 ИНГРЕДИЕНТОВ	15 минут
1213	Салат с семгой и перепелиными яйцами	6 ИНГРЕДИЕНТОВ	30 минут
1214	Тыквенный суп-пюре	10 ИНГРЕДИЕНТОВ	40 минут
1215	Куриный паштет	10 ИНГРЕДИЕНТОВ	20 минут
1216	Домашняя пицца «Маргарита»	9 ИНГРЕДИЕНТОВ	20 минут
1217	Домашние куриные наггетсы	7 ИНГРЕДИЕНТОВ	30 минут
1218	Шарлотка с корицей и яблоками	6 ИНГРЕДИЕНТОВ	50 минут
1219	Райские шоколадные маффины с кусочками шоколада	10 ИНГРЕДИЕНТОВ	40 минут
1220	Запеченные яйца в восточном стиле	14 ИНГРЕДИЕНТОВ	15 минут
1221	«Шарлотка»	7 ИНГРЕДИЕНТОВ	40 минут
1222	Котлеты из индейки	10 ИНГРЕДИЕНТОВ	1 час
1223	Бигос	22 ИНГРЕДИЕНТА	1 час 30 минут
1224	Салат аджапсандали	9 ИНГРЕДИЕНТОВ	1 час
1225	Пицца «Четыре сыра» на оливковом масле	6 ИНГРЕДИЕНТОВ	30 минут
1226	Инжир с бальзамическим уксусом	5 ИНГРЕДИЕНТОВ	30 минут
1227	Дымляма	13 ИНГРЕДИЕНТОВ	2 часа
1228	Баклажаны с рисом и йогуртом	11 ИНГРЕДИЕНТОВ	1 час 15 минут
1229	Ватрушки	10 ИНГРЕДИЕНТОВ	2 часа
1230	Цукаты	2 ИНГРЕДИЕНТА	1 час
1231	Пирог песочный с вареньем	7 ИНГРЕДИЕНТОВ	1 час
1232	Свинина запеченная под шубой из перцев и помидор	8 ИНГРЕДИЕНТОВ	1 час
1233	Торт «Муравейник» со сгущенным молоком	6 ИНГРЕДИЕНТОВ	1 час 10 минут
1234	Пенне в сметанном карри с пряной спаржей	13 ИНГРЕДИЕНТОВ	15 минут
1235	Запеканка из кабачков	12 ИНГРЕДИЕНТОВ	1 час
1236	Меренги с фундуком и шоколадом	6 ИНГРЕДИЕНТОВ	3 часа 20 минут
1237	Калду верде	10 ИНГРЕДИЕНТОВ	1 час
1238	Тушеная курица	14 ИНГРЕДИЕНТОВ	1 час
1239	Куриные сердца со сливками	8 ИНГРЕДИЕНТОВ	1 час
1240	Писсаладье	11 ИНГРЕДИЕНТОВ	2 часа 50 минут
1241	Кроппкакур	10 ИНГРЕДИЕНТОВ	2 часа
1242	Салат из трех видов помидоров	13 ИНГРЕДИЕНТОВ	30 минут
1243	Греческие котлеты из кабачков и феты	12 ИНГРЕДИЕНТОВ	20 минут
1244	Овсяное печенье с изюмом и яблоком	10 ИНГРЕДИЕНТОВ	30 минут
1245	Запеченные кабачки с картофелем	11 ИНГРЕДИЕНТОВ	30 минут
1246	Суточные щи	14 ИНГРЕДИЕНТОВ	4 часа
1247	Салат с дыней и голубым сыром	11 ИНГРЕДИЕНТОВ	15 минут
1248	Паштет из говяжьей печени с коньяком	12 ИНГРЕДИЕНТОВ	1 час 20 минут
1249	Ангельский бисквит	6 ИНГРЕДИЕНТОВ	50 минут
1250	Овсяная каша с яблоком и корицей	8 ИНГРЕДИЕНТОВ	10 минут
1251	Маффины с бананом и сгущенкой	11 ИНГРЕДИЕНТОВ	35 минут
1252	Жареная кольраби с приправами	7 ИНГРЕДИЕНТОВ	10 минут
1253	Рагу из курицы со свекольным карри	15 ИНГРЕДИЕНТОВ	25 минут
1254	Макароны в сосисках	3 ИНГРЕДИЕНТА	10 минут
1255	Пиккпойсс	11 ИНГРЕДИЕНТОВ	1 час 30 минут
1256	Суп с рисовой лапшой и бараниной	12 ИНГРЕДИЕНТОВ	15 минут
1257	Чанахи	10 ИНГРЕДИЕНТОВ	3 часа
1258	Курица по-итальянски	5 ИНГРЕДИЕНТОВ	55 минут
1259	Коктейль «Апероль-шприц» (Aperol Spritz)	4 ИНГРЕДИЕНТА	1 минута
1260	Флорентийское печенье	6 ИНГРЕДИЕНТОВ	1 час
1261	Стейки с картофелем и спаржей на гриле	11 ИНГРЕДИЕНТОВ	35 минут
1262	Печенье с шоколадом	8 ИНГРЕДИЕНТОВ	40 минут
1263	Тархун	3 ИНГРЕДИЕНТА	10 минут
1264	Бархатистый суп с цукини	7 ИНГРЕДИЕНТОВ	30 минут
1265	Теплый салат с грибами и сметанным соусом	15 ИНГРЕДИЕНТОВ	40 минут
1266	Яичная пшеничная лапша с грибами шиитаке, мисо и жареным салатом	11 ИНГРЕДИЕНТОВ	15 минут
1267	Брецели	9 ИНГРЕДИЕНТОВ	2 часа
1268	Свинина с тыквой	11 ИНГРЕДИЕНТОВ	1 час 30 минут
1269	Лобио по-деревенски	12 ИНГРЕДИЕНТОВ	35 минут
1270	Гравлакс	5 ИНГРЕДИЕНТОВ	10 минут
1271	Курица с грибами в сливках	7 ИНГРЕДИЕНТОВ	40 минут
1272	Коддл	9 ИНГРЕДИЕНТОВ	5 часов
1273	Тирокафтери	4 ИНГРЕДИЕНТА	10 минут
1274	Суп из белокочанной и цветной капусты	11 ИНГРЕДИЕНТОВ	45 минут
1275	Брускетта с говядиной, томатами и песто	8 ИНГРЕДИЕНТОВ	30 минут
1276	Язык вареный с чесночно-винным соусом	9 ИНГРЕДИЕНТОВ	2 часа 30 минут
1277	Окрошка	16 ИНГРЕДИЕНТОВ	25 минут
1278	Боксти	7 ИНГРЕДИЕНТОВ	30 минут
1279	Черниговский борщ	22 ИНГРЕДИЕНТА	3 часа
1280	Фетучини с ветчиной и грибами	6 ИНГРЕДИЕНТОВ	30 минут
1281	Айвар	9 ИНГРЕДИЕНТОВ	2 часа
1282	Индейка с чатни из хурмы и груши	23 ИНГРЕДИЕНТА	2 часа
1283	Лечо с беконом и колбасками	7 ИНГРЕДИЕНТОВ	1 час
1284	Томатный суп с морепродуктами	20 ИНГРЕДИЕНТОВ	1 час
1285	Эллебрёд	8 ИНГРЕДИЕНТОВ	20 минут
1286	Пицца настоящая	9 ИНГРЕДИЕНТОВ	2 часа 20 минут
1287	Икра из баклажанов	8 ИНГРЕДИЕНТОВ	1 час
1288	Симит	7 ИНГРЕДИЕНТОВ	1 час 30 минут
1289	Болоньезе	18 ИНГРЕДИЕНТОВ	2 часа 30 минут
1290	Багет с сыром, зеленью и ветчиной	5 ИНГРЕДИЕНТОВ	15 минут
1291	Террин из утки Ники Белоцерковской	15 ИНГРЕДИЕНТОВ	2 часа
1292	Зеленый салат с соусом шисо	15 ИНГРЕДИЕНТОВ	25 минут
1293	Вишневый пирог	7 ИНГРЕДИЕНТОВ	1 час
1294	Норвежский сливочный суп с семгой	9 ИНГРЕДИЕНТОВ	40 минут
1295	Азербайджанская чихиртма	9 ИНГРЕДИЕНТОВ	40 минут
1296	Колдуны	8 ИНГРЕДИЕНТОВ	40 минут
1297	Ленивые вареники со сметаной	6 ИНГРЕДИЕНТОВ	15 минут
1298	Зеленый карри	8 ИНГРЕДИЕНТОВ	25 минут
1299	Айоли	3 ИНГРЕДИЕНТА	30 минут
1300	Салат из баклажанов с помидорами	10 ИНГРЕДИЕНТОВ	20 минут
1301	Быстрая сангрия	8 ИНГРЕДИЕНТОВ	5 минут
1302	Яблочно-изюмный коулсло	12 ИНГРЕДИЕНТОВ	25 минут
1303	Холодный суп из редиски и молока	7 ИНГРЕДИЕНТОВ	5 минут
1304	Спагетти с вонголе	9 ИНГРЕДИЕНТОВ	30 минут
1305	Ржаные блинчики с соусом из зеленого лука, кинзы, сметаны и красной икры	15 ИНГРЕДИЕНТОВ	30 минут
1306	Тыквенный торт	11 ИНГРЕДИЕНТОВ	40 минут
1307	Бифштекс а-ля Линдстрем	9 ИНГРЕДИЕНТОВ	1 час
1308	Бешбармак	8 ИНГРЕДИЕНТОВ	5 часов
1309	Хлеб в духовке	5 ИНГРЕДИЕНТОВ	2 часа 30 минут
1310	Маринованный чеснок со свеклой	9 ИНГРЕДИЕНТОВ	20 минут
1311	Салат с авокадо и креветками	8 ИНГРЕДИЕНТОВ	30 минут
1312	Быстрый кекс из микроволновки	8 ИНГРЕДИЕНТОВ	5 минут
1313	Карамельные яблоки	6 ИНГРЕДИЕНТОВ	20 минут
1314	Сэндвич с селедкой	4 ИНГРЕДИЕНТА	5 минут
1315	Спанакопита	9 ИНГРЕДИЕНТОВ	1 час 30 минут
1316	Бельгийские пивные оладьи	9 ИНГРЕДИЕНТОВ	20 минут
1317	Капуста с фаршем	10 ИНГРЕДИЕНТОВ	1 час
1318	Салат с морковью, красной рыбой и миндалем	12 ИНГРЕДИЕНТОВ	15 минут
1319	Буженина	9 ИНГРЕДИЕНТОВ	4 часа
1320	Ранчеро	14 ИНГРЕДИЕНТОВ	40 минут
1321	Торт «Ленинградский»	13 ИНГРЕДИЕНТОВ	2 часа
1322	Курица с брокколи и морковью, тушеная в сливках	11 ИНГРЕДИЕНТОВ	55 минут
1323	Зефир	6 ИНГРЕДИЕНТОВ	10 минут
1324	Жареная камбала со сливочным маслом	8 ИНГРЕДИЕНТОВ	20 минут
1325	Холодный огуречный суп с лососем	7 ИНГРЕДИЕНТОВ	30 минут
1326	Пирог с вишней	10 ИНГРЕДИЕНТОВ	1 час 30 минут
1327	Творожный чизкейк с клубникой	10 ИНГРЕДИЕНТОВ	4 часа 15 минут
1328	Лосось в кунжуте на подушке из цукини	11 ИНГРЕДИЕНТОВ	40 минут
1329	Жареная камбала	5 ИНГРЕДИЕНТОВ	5 минут
1330	Овощные закуски с творожным сыром	14 ИНГРЕДИЕНТОВ	2 часа
1331	Капуста со сметаной, укропом, зеленым луком и свеклой	9 ИНГРЕДИЕНТОВ	20 минут
1332	Классические сырники	8 ИНГРЕДИЕНТОВ	1 час
1333	Блины с дырочками	7 ИНГРЕДИЕНТОВ	1 час 30 минут
1334	Панир масала	18 ИНГРЕДИЕНТОВ	2 часа
1335	Печенье с кофе и кардамоном	11 ИНГРЕДИЕНТОВ	30 минут
1336	Сосиски в тесте с картофельным кремом	14 ИНГРЕДИЕНТОВ	30 минут
1337	Винартерта	12 ИНГРЕДИЕНТОВ	2 часа
1338	Пирог с творожной начинкой.	7 ИНГРЕДИЕНТОВ	40 минут
1339	Капкейк с яблоком, специями и кремом из «Филадельфии» с корицей	17 ИНГРЕДИЕНТОВ	35 минут
1340	Имбирное печенье с корицей	8 ИНГРЕДИЕНТОВ	20 минут
1341	Салат с мандаринами и камамбером	12 ИНГРЕДИЕНТОВ	20 минут
1342	Каннеллони с мясной начинкой под соусом бешамель	11 ИНГРЕДИЕНТОВ	1 час 30 минут
1343	Пити	9 ИНГРЕДИЕНТОВ	15 часов 10 минут
1344	Яичница-болтунья со шпинатом	7 ИНГРЕДИЕНТОВ	10 минут
1345	Борщ мясной	10 ИНГРЕДИЕНТОВ	1 час
1346	Суп с тушенкой	12 ИНГРЕДИЕНТОВ	1 час
1347	Тонкое хрустящее тесто для пиццы	5 ИНГРЕДИЕНТОВ	1 час 30 минут
1348	Цветная капуста в кляре	5 ИНГРЕДИЕНТОВ	30 минут
1349	Стейк с мятой и бальзамическим уксусом	10 ИНГРЕДИЕНТОВ	1 час
1350	Адобо	9 ИНГРЕДИЕНТОВ	1 час 30 минут
1351	Дрочена	7 ИНГРЕДИЕНТОВ	40 минут
1352	Говядина, тушенная в сметане	6 ИНГРЕДИЕНТОВ	2 часа 15 минут
1353	Творог со слабосоленым лососем и укропом	6 ИНГРЕДИЕНТОВ	5 минут
1354	Пататас-бравас	11 ИНГРЕДИЕНТОВ	40 минут
1355	Рыбный суп	11 ИНГРЕДИЕНТОВ	40 минут
1356	Холодник	12 ИНГРЕДИЕНТОВ	1 час
1357	Фриттата алла наполитана	6 ИНГРЕДИЕНТОВ	30 минут
1358	Пряный картофельный суп	16 ИНГРЕДИЕНТОВ	50 минут
1359	Окрошка кефирная	10 ИНГРЕДИЕНТОВ	30 минут
1360	Жаркое с говядиной	11 ИНГРЕДИЕНТОВ	2 часа
1361	Салат с креветками, дыней, арбузом и руколой	10 ИНГРЕДИЕНТОВ	20 минут
1362	Спагетти с анчоусами и хлебными крошками	7 ИНГРЕДИЕНТОВ	50 минут
1363	Телятина с моцареллой	11 ИНГРЕДИЕНТОВ	15 минут
1364	Фруктовая закуска с творожным сыром	16 ИНГРЕДИЕНТОВ	20 минут
1365	Салат из куриных окорочков с соусом барбекю	11 ИНГРЕДИЕНТОВ	1 час
1366	Солянка рыбная сборная	13 ИНГРЕДИЕНТОВ	1 час 10 минут
1367	Малосольные огурцы	8 ИНГРЕДИЕНТОВ	15 минут
1368	Курица с имбирем и кешью	10 ИНГРЕДИЕНТОВ	35 минут
1369	Кайзершмаррн	11 ИНГРЕДИЕНТОВ	30 минут
1370	Куриный бульон	12 ИНГРЕДИЕНТОВ	4 часа
1371	Оладьи на молоке	5 ИНГРЕДИЕНТОВ	15 минут
1372	Фаршированные кальмары	10 ИНГРЕДИЕНТОВ	1 час 25 минут
1373	Тыквенные маффины с розмарином	12 ИНГРЕДИЕНТОВ	50 минут
1374	Спагетти аль крудо	10 ИНГРЕДИЕНТОВ	15 минут
1375	Салат из шпината с рыбой и облепиховым соусом	20 ИНГРЕДИЕНТОВ	30 минут
1376	Кассуле	16 ИНГРЕДИЕНТОВ	7 часов
1377	Жюльен с курицей и шампиньонами	6 ИНГРЕДИЕНТОВ	2 часа
1378	Бифарше (запеканка из картофельного пюре и куриного фарша)	10 ИНГРЕДИЕНТОВ	40 минут
1379	Боличе	13 ИНГРЕДИЕНТОВ	4 часа
1380	Панна-котта Адриана Кетгласа	16 ИНГРЕДИЕНТОВ	30 минут
1381	Кысыр	17 ИНГРЕДИЕНТОВ	1 час 10 минут
1382	Пирожные вупи	10 ИНГРЕДИЕНТОВ	35 минут
1383	Огуркова зупа	17 ИНГРЕДИЕНТОВ	2 часа
1384	Цитрусовые маффины	9 ИНГРЕДИЕНТОВ	30 минут
1385	Мусс из авокадо с персиками и базиликом	7 ИНГРЕДИЕНТОВ	30 минут
1386	Гладкий фо	14 ИНГРЕДИЕНТОВ	2 часа 20 минут
1387	Коласнитт (Печенье-ириски)	6 ИНГРЕДИЕНТОВ	40 минут
1388	Грушевый салат с рукколой и овечьим сыром	11 ИНГРЕДИЕНТОВ	25 минут
1389	Салат из свеклы с соусом песто	7 ИНГРЕДИЕНТОВ	1 час 10 минут
1390	Рыба с овощами по-провански	12 ИНГРЕДИЕНТОВ	30 минут
1391	Сабайон с апельсином	6 ИНГРЕДИЕНТОВ	20 минут
1392	Котлеты из кабачков с сыром	7 ИНГРЕДИЕНТОВ	25 минут
1393	Яйцо пашот с голландским соусом и шпинатом	12 ИНГРЕДИЕНТОВ	15 минут
1394	Овощная запеканка	9 ИНГРЕДИЕНТОВ	40 минут
1395	Бананово-грушевый смузи	3 ИНГРЕДИЕНТА	10 минут
1396	Рассольник с почками	16 ИНГРЕДИЕНТОВ	3 часа
1397	Тушеная картошка	17 ИНГРЕДИЕНТОВ	1 час 30 минут
1398	Скландраусис	10 ИНГРЕДИЕНТОВ	1 час
1399	Кекс с изюмом	9 ИНГРЕДИЕНТОВ	2 часа
1400	Виндалу	17 ИНГРЕДИЕНТОВ	2 часа
1401	Окрошка на квасе	10 ИНГРЕДИЕНТОВ	30 минут
1402	Курица с картофелем, запеченная в кефире с чесноком и травами	8 ИНГРЕДИЕНТОВ	40 минут
1403	Суп с угрем семьи Грейджой	18 ИНГРЕДИЕНТОВ	45 минут
1404	Тефтели с подливкой	14 ИНГРЕДИЕНТОВ	1 час 30 минут
1405	Спринг-роллы по-тайски	8 ИНГРЕДИЕНТОВ	20 минут
1406	Лабскаус	12 ИНГРЕДИЕНТОВ	45 минут
1407	Царские блины с курицей и грибами	13 ИНГРЕДИЕНТОВ	1 час
1408	Вафли классические из СССР	8 ИНГРЕДИЕНТОВ	15 минут
1409	Крем-суп грибной	8 ИНГРЕДИЕНТОВ	40 минут
1410	Кугелис	7 ИНГРЕДИЕНТОВ	2 часа 10 минут
1411	Куриные котлеты «Нежные»	4 ИНГРЕДИЕНТА	30 минут
1412	Красный карри	12 ИНГРЕДИЕНТОВ	45 минут
1413	Густой суп из киноа и белой фасоли	14 ИНГРЕДИЕНТОВ	50 минут
1414	Массаман-карри классический	20 ИНГРЕДИЕНТОВ	1 час
1415	Суп из свеклы с козьим сыром	16 ИНГРЕДИЕНТОВ	15 минут
1416	Котлеты из говядины	7 ИНГРЕДИЕНТОВ	1 час
1417	Поке с рисом, крабом и битыми огурцами	15 ИНГРЕДИЕНТОВ	20 минут
1418	Люля-кебаб	7 ИНГРЕДИЕНТОВ	40 минут
1419	Тортилья (испанский омлет)	7 ИНГРЕДИЕНТОВ	40 минут
1420	Равиоли со шпинатом и томатной сальсой	15 ИНГРЕДИЕНТОВ	1 час
1421	Капустный пирог	5 ИНГРЕДИЕНТОВ	2 часа
1422	Шоколадный торт с маскарпоне	10 ИНГРЕДИЕНТОВ	55 минут
1423	Дип из белой фасоли с табаско	8 ИНГРЕДИЕНТОВ	10 минут
1424	Мясная кулебяка с грибами и гречкой	14 ИНГРЕДИЕНТОВ	3 часа
1425	Капоната с морепродуктами	18 ИНГРЕДИЕНТОВ	25 минут
1426	Сибас с тимьяном и грибами	9 ИНГРЕДИЕНТОВ	20 минут
1427	Салат с рукколой и креветками	10 ИНГРЕДИЕНТОВ	20 минут
1428	Сопа-де-лима	16 ИНГРЕДИЕНТОВ	30 минут
1429	Салат из брокколи с курицей	5 ИНГРЕДИЕНТОВ	40 минут
1430	Салат из шпината, щавеля, фризе и водорослей	12 ИНГРЕДИЕНТОВ	20 минут
1431	Чучвара	16 ИНГРЕДИЕНТОВ	1 час 30 минут
1432	Пастилла	16 ИНГРЕДИЕНТОВ	1 час 30 минут
1433	Тыквенный карри с нутом и цукини	11 ИНГРЕДИЕНТОВ	45 минут
1434	Сливовый пирог по рецепту «New York Times»	8 ИНГРЕДИЕНТОВ	50 минут
1435	Кростата имбирная	11 ИНГРЕДИЕНТОВ	50 минут
1436	Желтки святой Терезы	6 ИНГРЕДИЕНТОВ	30 минут
1437	Чапчхэ	18 ИНГРЕДИЕНТОВ	30 минут
1438	Сырные тосты на сковородке	4 ИНГРЕДИЕНТА	15 минут
1439	Треска в савойской капусте	13 ИНГРЕДИЕНТОВ	40 минут
1440	Рататуй из кабачка	7 ИНГРЕДИЕНТОВ	1 час
1441	Песочный творожно-яблочный пирог	9 ИНГРЕДИЕНТОВ	1 час 30 минут
1442	Куриные сердца в сметане	8 ИНГРЕДИЕНТОВ	30 минут
1443	Блинчики из кольраби	10 ИНГРЕДИЕНТОВ	30 минут
1444	Запеканка из сыра с морковью и чесноком	8 ИНГРЕДИЕНТОВ	1 час
1445	Стейк с перечным соусом	9 ИНГРЕДИЕНТОВ	20 минут
1446	Теплый салат с курицей и шпинатом	8 ИНГРЕДИЕНТОВ	15 минут
1447	Чизкейк с персиками без выпечки	8 ИНГРЕДИЕНТОВ	3 часа
1448	Классический манник	7 ИНГРЕДИЕНТОВ	1 час 30 минут
1449	Цветная капуста на сковороде	6 ИНГРЕДИЕНТОВ	30 минут
1450	Яблочно-банановый чизкейк без запекания	13 ИНГРЕДИЕНТОВ	4 часа
1451	Бискотти	8 ИНГРЕДИЕНТОВ	1 час 30 минут
1452	Овсяный пирог с вишней	6 ИНГРЕДИЕНТОВ	1 час 10 минут
1453	Классический пад-тай	14 ИНГРЕДИЕНТОВ	45 минут
1454	Паста с креветками в сливочном песто	7 ИНГРЕДИЕНТОВ	30 минут
1455	Вареники с картошкой и луком	14 ИНГРЕДИЕНТОВ	50 минут
1456	Итальянский томатный соус	8 ИНГРЕДИЕНТОВ	40 минут
1457	Тыква в духовке	6 ИНГРЕДИЕНТОВ	30 минут
1458	Салат из гребенчатых креветок со свежими овощами	8 ИНГРЕДИЕНТОВ	15 минут
1459	Лобио горячее из красной фасоли	12 ИНГРЕДИЕНТОВ	1 час
1460	Потофе	16 ИНГРЕДИЕНТОВ	5 часов
1461	Пхали из свеклы	11 ИНГРЕДИЕНТОВ	1 час 30 минут
1462	Лосось с можжевельником и розмарином	8 ИНГРЕДИЕНТОВ	30 минут
1463	Курица кусочками в сливочном соусе	6 ИНГРЕДИЕНТОВ	1 час
1464	Лимонный тарт с меренгой	8 ИНГРЕДИЕНТОВ	1 час 45 минут
1465	Чили кон карне	19 ИНГРЕДИЕНТОВ	3 часа
1466	Тыква с нутом	15 ИНГРЕДИЕНТОВ	35 минут
1467	Картошка по-деревенски в духовке	4 ИНГРЕДИЕНТА	40 минут
1468	Грибной паштет	12 ИНГРЕДИЕНТОВ	1 час
1469	Кабачки, запеченные со сметаной и чесноком	7 ИНГРЕДИЕНТОВ	30 минут
1470	Моченые сливы	5 ИНГРЕДИЕНТОВ	10 минут
1471	Козинаки	3 ИНГРЕДИЕНТА	30 минут
1472	Грибы со сливками	11 ИНГРЕДИЕНТОВ	15 минут
1473	Пико-де-гальо	10 ИНГРЕДИЕНТОВ	20 минут
1474	Мексиканский суп с фаршем и овощами	10 ИНГРЕДИЕНТОВ	30 минут
1475	Пататас-бравас с колбасками	12 ИНГРЕДИЕНТОВ	40 минут
1476	Медовые пряники со различными специями	14 ИНГРЕДИЕНТОВ	40 минут
1477	Кауза	11 ИНГРЕДИЕНТОВ	1 час
1478	Масала-чай с перцем	7 ИНГРЕДИЕНТОВ	20 минут
1479	Говядина, запеченная с медом и горчицей	8 ИНГРЕДИЕНТОВ	1 час 20 минут
1480	Блинчики с зеленым луком и кинзой	14 ИНГРЕДИЕНТОВ	20 минут
1481	Клюквенный крисп	9 ИНГРЕДИЕНТОВ	1 час 30 минут
1482	Ризотто с рукколой и шпинатом	16 ИНГРЕДИЕНТОВ	20 минут
1483	Фунчоза с овощами по-корейски	9 ИНГРЕДИЕНТОВ	15 минут
1484	Горбуша, запеченная в фольге	6 ИНГРЕДИЕНТОВ	40 минут
1485	Три зеленых сырных дипа	18 ИНГРЕДИЕНТОВ	30 минут
1486	Мидии в соусе из белого вина	12 ИНГРЕДИЕНТОВ	20 минут
1487	Рулет из лаваша	7 ИНГРЕДИЕНТОВ	30 минут
1488	Телятина по-орловски	12 ИНГРЕДИЕНТОВ	2 часа
1489	Суп с клецками	13 ИНГРЕДИЕНТОВ	40 минут
1490	Брокколи в устричном соусе	7 ИНГРЕДИЕНТОВ	10 минут
1491	Тонкие блины	6 ИНГРЕДИЕНТОВ	15 минут
1492	Курица на банке	10 ИНГРЕДИЕНТОВ	2 часа
1493	Калифорнийский салат из киноа с креветками и крабом	13 ИНГРЕДИЕНТОВ	30 минут
1494	Салат с морепродуктами	10 ИНГРЕДИЕНТОВ	15 минут
1495	Шаурма с курицей и майонезом	8 ИНГРЕДИЕНТОВ	20 минут
1496	Куриное филе в апельсиновом маринаде	7 ИНГРЕДИЕНТОВ	3 часа
1497	Семур	12 ИНГРЕДИЕНТОВ	2 часа
1498	Блины (pancakes)	5 ИНГРЕДИЕНТОВ	30 минут
1499	Настоящее бакинское курабье	8 ИНГРЕДИЕНТОВ	1 час
1500	Кенигсбергские клопсы	18 ИНГРЕДИЕНТОВ	1 час
1501	Рататуй	14 ИНГРЕДИЕНТОВ	1 час
1502	Дамляма	8 ИНГРЕДИЕНТОВ	1 час 40 минут
1503	Утиные грудки с вишневым соусом	14 ИНГРЕДИЕНТОВ	1 час
1504	Сырные блины	7 ИНГРЕДИЕНТОВ	30 минут
1505	Рассольник с перловкой	12 ИНГРЕДИЕНТОВ	1 час 20 минут
1506	Паштел-де-ната	10 ИНГРЕДИЕНТОВ	1 час
1507	Утренний фруктовый смузи	5 ИНГРЕДИЕНТОВ	10 минут
1508	Эскабече	12 ИНГРЕДИЕНТОВ	30 минут
1509	Хрустящий хашбраун	4 ИНГРЕДИЕНТА	20 минут
1510	Трехдневные помидоры	8 ИНГРЕДИЕНТОВ	30 минут
1511	Мясные тефтели с сыром	9 ИНГРЕДИЕНТОВ	40 минут
1512	Коктейль «Пьяный банан»	6 ИНГРЕДИЕНТОВ	10 минут
1513	Быстрое песочное печенье	5 ИНГРЕДИЕНТОВ	45 минут
1514	Путин	11 ИНГРЕДИЕНТОВ	50 минут
1515	Бриошь с ванилью	7 ИНГРЕДИЕНТОВ	3 часа 30 минут
1516	Творожный пирог со сливочным сыром	10 ИНГРЕДИЕНТОВ	1 час
1517	Нежнейший заварной крем	5 ИНГРЕДИЕНТОВ	20 минут
1518	Фидеуа	14 ИНГРЕДИЕНТОВ	45 минут
1519	Ленивые голубцы с рисом	11 ИНГРЕДИЕНТОВ	30 минут
1520	Буррито с говяжьим фаршем	11 ИНГРЕДИЕНТОВ	40 минут
1521	Курица в соевом соусе	6 ИНГРЕДИЕНТОВ	30 минут
1522	Запеканка из брокколи с сыром	9 ИНГРЕДИЕНТОВ	25 минут
1523	Такос с пекинской уткой	23 ИНГРЕДИЕНТА	1 час 30 минут
1524	Салат с шампиньонами	9 ИНГРЕДИЕНТОВ	30 минут
1525	Гуляш из мяса	7 ИНГРЕДИЕНТОВ	30 минут
1526	Фарфалле с хлебными крошками и чесноком	8 ИНГРЕДИЕНТОВ	20 минут
1527	Финский пирог калакукко	9 ИНГРЕДИЕНТОВ	6 часов
1528	Творожные кольца	10 ИНГРЕДИЕНТОВ	1 час 15 минут
1529	Дважды приготовленная свинина	15 ИНГРЕДИЕНТОВ	1 час 30 минут
1530	Рыба в соли	4 ИНГРЕДИЕНТА	30 минут
1531	Эклеры со сливочно-творожным кремом	9 ИНГРЕДИЕНТОВ	40 минут
1532	Чечевичный суп с мятным йогуртом	11 ИНГРЕДИЕНТОВ	1 час 40 минут
1533	Чизкейк «Нью-Йорк»	7 ИНГРЕДИЕНТОВ	1 час 50 минут
1534	Курица с грибами, запеченная под картофельно-сырной шубой	11 ИНГРЕДИЕНТОВ	1 час
1535	Тапенад	9 ИНГРЕДИЕНТОВ	5 минут
1536	Жареные кальмары с петрушкой и лимоном	7 ИНГРЕДИЕНТОВ	20 минут
1537	Капуста с грибами	14 ИНГРЕДИЕНТОВ	1 час
1538	Традиционная корейская капуста кимчи	13 ИНГРЕДИЕНТОВ	1 час
